Question,Category ID,Description,Step Type,Step,Step #
get hot meals from Boyle Street Community League,9,,Location,"9515 104th Avenue Edmonton, Alberta",
get hot meals from Salvation Army,9,,Location,"9620 101A Avenue Edmonton, Alberta",
 wash clothing ,11,,,,
 get clothes,11,,,,
 get clothes for a job interview,11,,,,
 get infant/children's clothes,11,,,,
 get women's clothes,11,,,,
 get men's clothes,11,,,,
 donate clothing,11,,,,
How can I donate clothing,11,,,,
 get clothes from SALVATION ARMY,11,,Location,,
 get clothes from MARS & VENUS,11,,Location,,
  get clothes fromFAST EXCHANGE,11,,Location,,
 get clothes fromSUPER EXCHANGE,11,,Location,,
 donate clothing,11,,Location,,
 get clothes from CATCH THE MAGIC,11,,Location,,
 get clothes from ON SECOND THOUGHT,11,,Location,,
 get clothes from BEACON THRIFT STORE,11,,Location,,
 get clothes from CAPRICE CONSIGNMENT,11,,Location,,
 get clothes from CAPRICE CONSIGNMENT,11,,Location,,
 get clothes from J P SURPLUS & EXCHANGE,11,,Location,,
 get clothes from KARA-LOT SEC HND STORE,11,,Location,,
 get clothes from SNAGGS CONSIGNED & NEW DESIGNER FASHIONS,11,,Location,,
 get clothes from PIGTAILS,11,,Location,,
 get clothes from DELS ON 9TH,11,,Location,,
 get clothes from SECOND LOOK,11,,Location,,
 get clothes from SECOND STORY,11,Suit Yourself clothes,Location,"Suit Yourself is an Edmonton-based charitable organization which collects and distributes quality clothing and accessories, free of charge, to low-income women who are seeking employment or making a transition in the workforce.",
 get clothes from BOY GIRL REWEAR,11,,Location,It is our policy to offer all clients who obtain employment a second appointment so that they may receive more clothing to wear at their new job. We hope that this will encourage clients to maintain employment.,
 get clothes from UNIQUE BOUTIQUE,11,,Location,,
 get clothes from MY FAVORITE AUNTS,11,Bissel Centre Thrift Shoppe ,Location," The Community Closet is a voucher-based system assisting low income families and individuals by providing basic essentials of clothing and household goods at no charge. This program, originally offered at the Bissell Centre Thrift Shoppe, is located in the basement of Bissell Centre’s East building. The Community Closet has proven to be very successful as service users now have their own place to ‘shop’ with dignity assisted by dedicated support staff. 

",
 get clothes from KIDS STUFF ETC LTD,11,,Location,,
 get clothes from NORTHSIDE EXCHANGE,11,Marian Centre ,Location,Once a week the clothing room is opened so that clothes and small household items can be made available to our friends,
 get clothes from BUGSNBERRIES KIDSWEAR,11,,Location,,
 get clothes from ELEGANCE PLUS BOUTIQUE,11,The Mustard Seed,Location,"The Personal Assistance Centre is based on the belief that everyone is equal and should be given the opportunity to present themselves in a dignified manner. We give members of our community this opportunity by providing clean clothes and basic hygiene items, as well as some household goods. Our intake workers also work to connect people to the support they need—whether emotional, physical or spiritual  (inner city residents only)",
 get clothes from BISSELLS THRIFT SHOPPE,11,,Location,,
 get clothes from BISSELLS THRIFT SHOPPE,11,,Location,,
 get clothes from KIDS KLOTHES PLUS MORE,11,,Location,,
 get clothes from LIL PEANUTS RECYCLED WEAR,11,,Location,,
 get clothes from FAIR VALUE LOAN CENTRE PAWN BROKR,11,WIN House - Edmonton Women's Shelter ,Location,"WIN House - Edmonton Women's Shelter is a shelter for women with or without children who have experienced abuse from their partners. They supply food, shelter (up to 3 weeks), clothing, support groups, crisis counselling, and information on family violence.",
 get clothes from CHANGES THE CLASSY CONSIGNMENT COMPANY,11,,Location,,
 get clothes from VESPUCCI CONSIGNMENT INC SEC HND STORE,11,Edmonton Emergency Relief Services 428-4422,Location,,
 get clothes from PAWN STORE,11,Goodwill Industries – Thrift Retail Stores ,Location,"Beverly, Capilano, Duggan, Edwards, Lymburn Centre, Manning Crossing, Pallisades, Parkview, Patricia Heights, Sherwood Park, Southside, Spruce Grove, St. Albert, , Westend, Westmount",
 get clothes from SALVATION ARMY,11,KARA-LOT Second Hand Store,Location,,
 get clothes from ROBES & RELICS,11,Salvation Army – Thrift Stores ,Location,,
 get clothes from SALVATION ARMY,11,,Location,,
 get clothes from KIDS CLOSET,11,Cerebral Palsy Association in Alberta ,Location,,
Get Medical Help,5,"The Boyle McCauley Health Center is the only medical clinic in Edmonton that does not require patients to have a Health Care Card, and takes walk-in appointments",Location,"10628 - 96 Street Edmonton, Alberta",
Get needles exchanged,5,Boyle McCauley Health Center has a Streetworks Needle Exchange program that runs throughout the week and has a van that provides a mobile exchange outreach,Location,"10628 - 96 Street Edmonton, Alberta",
Get welfare application,9,You may have the right to income assistance. You have the right to be treated with respect at a welfare office,Location,"10242 - 105 Street
200 13415 Fort Road
2000 Northgate Centre, 9499 - 137 Avenue 
Argyll Centre, 6325 Gateway Boulevard
200 Westcor Building, 12323 Stony Plain Road
120 Meadowlark Shopping Centre, 15710 - 87 Ave",
 apply for the CRHC Subsidy Program,1,,Statement,"Obtain Application from:
http://www.crhc.ab.ca/documents-and-forms/application-forms.aspx
or
Capital Region Housing Corporation Office at 10232 - 112 Street Edmonton ",
 apply for the CRHC Subsidy Program,1,,Statement,Use ink to complete the form,
 apply for the CRHC Subsidy Program,1,,Statement,All household members 18 year and older are required to pass a Edmonton Police Service Criminal Records Check (to be included with this application),
 apply for the CRHC Subsidy Program,1,,Statement,Complete the Housing & Subsidy Program Listing - Available from the CRHC Office,
 apply for the CRHC Subsidy Program,1,,Statement,Provide a copy of your identification,
 apply for the CRHC Subsidy Program,1,,Statement,Provide a copy of your Permanent Resident Card,
 apply for the CRHC Subsidy Program,1,,Statement,Provide a copy of your Custody Documents,
 apply for the CRHC Subsidy Program,1,,Statement,Provide a copy of your Income Tax Returns (T1) and Assessment Notices (T452),
 apply for the CRHC Subsidy Program,1,,Statement,Provide a copy of your Lease Agreement,
 apply for the CRHC Subsidy Program,1,,Statement,Provide your current address,
 apply for the CRHC Subsidy Program,1,,Statement,Provide you phone number,
 apply for the CRHC Subsidy Program,1,,Statement,Provide you Social Insurance number,
 apply for the CRHC Subsidy Program,1,,Statement,Provide you employment information,
 apply for the CRHC Subsidy Program,1,,Statement,Provide you Rental History,
 apply for the CRHC Subsidy Program,1,,Statement,Complete the remainder of the Application,
 apply for the CRHC Subsidy Program,1,,Statement,Sign the application form - All co-applicants must sign the application.,
 apply for the CRHC Subsidy Program,1,,Statement,"Return application to Capital Region Housing Corporation at:
CRHC Office at 10232 - 112 Street Edmonton ",
 get a Criminal Record Check,7,,Statement,You must obtain paper copies from your local community station or EPS Headquarters. ,
 get a Criminal Record Check,7,,Statement,Police Information Check - $30.00,
 get a Criminal Record Check,7,,Statement,"To request a police information check, you must have two pieces of current original government issued identification showing full name and birth date, one piece must have a photo. No exceptions. ",
 get a Criminal Record Check,7,,Statement,"Police information checks must be done in person. Applications will not be accepted or processed by phone, fax, email or third party requests.",
 get a Criminal Record Check,7,,Statement,"Standard processing time is 2 weeks, however, times may vary according to work load. ",
What is acceptable ID for a Criminal Record Check,7,,Statement,"Identification

Two pieces of current original government issued identification showing full name and date of birth are required. Identification with initials instead of full names is NOT ACCEPTABLE.

One piece must be a photo identification.
Acceptable Identification:

    * Alberta Motor Registries ID (i.e. Drivers License, Learner's and Identification Card)
    * Provincial Health Care card must have full name, not initials(Saskatchewan and Alberta Health Care with initials are not acceptable)
    * CNIB identification card
    * Birth Certificate
    * Indian Status card
    * Passport
    * Immigration papers
    * Citizenship card
    * Permanent Residence card
    * Possession and Acquisition License
    * Canadian Forces Identification Card

Unacceptable Identification:

    * Social Insurance card
    * Interim Driver's License
    * Edmonton Police Service ID card
    * Student ID
    * Credit Cards
    * City of Edmonton License card
    * Blue Cross card
    * Hospital card 

In the case of persons under the age of 14 years and/or over the age of 55 years, Police Information Check Unit personnel will review each case individually in regards to other acceptable identification and will reserve the right to accept or refuse other forms of identification in accordance with its' internal policy and guidelines.

Identification that is expired longer than three months will not be acceptable.

Photocopies of identification are not acceptable.
Alberta Heath Care Cards

In an effort to accommodate the Alberta Government's Health Information Act, Edmonton Police Service encourages all applicants who are applying for a Police Information Check to provide other pieces of acceptable identification other than the Alberta Health Care Cards.

If no other acceptable identification is available and you, the applicant, choose to use the Alberta Health Care Card as a form of identification, the Edmonton Police Service will view the Alberta Health Care Card for the purpose to confirm identity by checking full name and birth date ONLY.

Personal health care numbers will not be recorded or photocopied by the Edmonton Police Service.",
What are the housing options available,1,,Statement,Municipal Affairs and Housing 780-427-2732,
What are the housing options available,1,,Statement,Tenant Rent Supplement Program 780-310-0000 http://www.crhc.ab.ca/,
What are the housing options available,1,,Statement,Boyle Street Community Services 780-424-4106 http://boylestreet.org/,
What are the housing options available,1,,Statement,Bissell Centre 780-423-2285 http://www.bissellcentre.org/,
What are the housing options available,1,,Statement,Herb Jamieson Centre 780-429-3470 http://www.informedmonton.com/public/service/0722_0002_0002.htm,
What are the housing options available,1,,Statement,George Spady Centre 780-424-8335,
 stay at Herb Jamieson Center,1,,Statement,"Herb Jamieson Center - Offers short term and emergency dorm style housing to men with little or no resources. Provides for registered guests a nurse's clinic for medical treatment, contact with Social Services intake worker, and baggage storage area.
Registration: 
Mon-Fri 2:00pm-3:00pm, 7:00pm-8:30pm; 
Sat-Sun noon-2:00pm, 6:00pm-8:30pm. 
Foyer opens at 10:30-11:00pm for warming. 
Last check in at 2:00am. 
Clients leave at 8:00am
Registration required
No Fees
Only for men, Low-Income - Transient, indigent, single men - Ages 18-60
Must be sober (zero tolerance)
",
 stay at Herb Jamieson Center,1,,Location,"Herb Jamieson Centre
10014 105A Avenue
Edmonton, Alberta
T5H 0M6
780-429-3470",
 stay at George Spady Center,1,,Statement,"George Spady Centre 780-424-8335
Many program participants are self referred through our Overnight Shelter, however people can be referred by friends, family and agencies.
In order to enter the Overnight Shelter a person only needs to be under the influence of alcohol or drugs, they can show up at the door or family, friends or agency staff can bring them. In the case of outside referrals it is best to call ahead to ensure space is available
For all referrals to the Detoxification Unit whether self-referred or referred through an outside party, potential participants must have a minimum of 8 hours sober or clean time. It is best to call ahead to ensure the availability of space.
Provides a supervised environment for those who are under the influence of alcohol and/or other drugs and require assistance in stabilizing their condition.
Open 7 days per week, 24 hours per day year round offering basic services to men and women who are under the influence of alcohol and or drugs
Spaces for 60 men and women 
Offer showers, laundry services, some food and donated clothing
Supportive staff, crisis intervention and referral information 
Onsite needle exchange program",
 find housing for refugees,1,,Location,"Edmonton Mennonite Center for Newcomers
#101, 10209 - 97 Street
Edmonton AB  T5J 0L6
780-428-5062
http://www.emcn.ab.ca/Home/tabid/37/Default.aspx",
 find housing for refugees,1,,Statement,"The Edmonton Mennonite Centre for Newcomers (EMCN) is a community agency that seeks to assist immigrants and refugees coming to the Edmonton area in achieving full participation in the community as well as contributing their experiences and skills to strengthen and enrich the lives of all Canadians.
EMCN supports refugee residents in specialized housing. The housing is offered in conjunction with the services and supports of a tenants counselor, a youth worker, community liaison/support workers, and psychologists.
Trinity Manor is an innovative project to provide supported housing for refugees who have been experiencing challenges with integration into life in Edmonton.
People interested in living in this supported housing will need to apply to EMCN.
Each application will require references as well as income and asset verification
EMCN staff will make all final decisions about the acceptance of applications
- must be a newcomer with less than 3 years living in Canada.
- not a Canadian Citizen
- not a Refugee Claimant
- normally applicants must be residents in Canada for at least 6 months",
What is subsidized housing,1,,Question,,
What subsidies are available for housing,1,,Question,,
 find a shelter,1,,Question,,
What is the contact information for housing services and shelters ,1,,Question,,
How to negotiate with landlord,1,,Question,,
 get tenant information,1,,Question,,
 get furnishings,1,,Question,,
Get Information on local Community groups,4,,Question,,
Find a library,4,,Question,,
get a library card,7,,Question,,
find a directory of organizations,4,,Question,,
find a list of community events,4,,statement,"Edmonton's First Annual: Homeless Hamper Handout at Edmonton Events Center - West Edmonton Mall 
www.epo-organization.com

Homeless Connect
Homeless Connect Edmonton is a broad-based community-inspired initiative, providing free appropriate services to people experiencing homelessness and those at risk of becoming homeless, on one day and at one location
Homeless Connect event will be held Sunday, May 15, 2011
www.homelessconnect.ca",
get a transit pass,2,,question,,
get transit tickets,2,,question,,
